date,ticker,pe,source,source_url,snapshot_fetched_at
2015-09-30,QQQ,18.02,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2015-10-31,QQQ,20.04,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2015-11-30,QQQ,20.11,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2015-12-31,QQQ,20.94,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2016-01-31,QQQ,19.51,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2016-02-29,QQQ,19.15,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2016-03-31,QQQ,20.4,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2016-04-30,QQQ,19.76,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2016-05-31,QQQ,20.59,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2016-06-30,QQQ,19.51,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2016-07-31,QQQ,20.89,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2016-08-31,QQQ,21.07,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2016-09-30,QQQ,22.44,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2016-10-31,QQQ,22.1,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2016-11-30,QQQ,22.15,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2016-12-31,QQQ,22.39,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2017-01-31,QQQ,21.87,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2017-02-28,QQQ,22.78,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2017-03-31,QQQ,21.99,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2017-04-30,QQQ,22.59,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2017-05-31,QQQ,23.42,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2017-06-30,QQQ,22.24,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2017-07-31,QQQ,23.16,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2017-08-31,QQQ,23.58,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2017-09-30,QQQ,23.55,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
