low_cut,high_cut,ticker,horizon_months,low_n,high_n,low_return_mean,high_return_mean,mean_spread,standardized_spread,average_spread,average_standardized_spread,min_tail_n,positive_comparisons,rank
20,80,QQQ,6,0,34,,0.10483731189089389,,,-0.049070681916636966,-0.5694613095901616,0,0,5
20,80,QQQ,12,0,32,,0.17344286401275227,,,-0.049070681916636966,-0.5694613095901616,0,0,5
20,80,SPY,6,3,44,0.042664742811455304,0.09710976181958836,-0.054445019008133054,-0.7618225049589148,-0.049070681916636966,-0.5694613095901616,0,0,5
20,80,SPY,12,3,38,0.12511482135238525,0.16881116617752612,-0.04369634482514087,-0.3771001142214084,-0.049070681916636966,-0.5694613095901616,0,0,5
25,75,QQQ,6,1,39,-0.05222004060802521,0.10351927510487102,-0.15573931571289623,,-0.02736186859082882,-0.6111357554344978,1,1,4
25,75,QQQ,12,1,34,0.31873187596972774,0.1647822469612216,0.15394962900850614,,-0.02736186859082882,-0.6111357554344978,1,1,4
25,75,SPY,6,3,46,0.042664742811455304,0.10048351609275051,-0.057818773281295206,-0.7965473655666622,-0.02736186859082882,-0.6111357554344978,1,1,4
25,75,SPY,12,3,40,0.12511482135238525,0.17495383573001524,-0.04983901437763,-0.42572414530233343,-0.02736186859082882,-0.6111357554344978,1,1,4
30,70,QQQ,6,4,50,0.1173880333899604,0.0966829731839362,0.020705060206024195,0.16844366656570298,0.021469986587148476,-0.028806949441397972,4,2,3
30,70,QQQ,12,4,44,0.3317719895298871,0.1643806411948774,0.1673913483350097,0.8209741850468316,0.021469986587148476,-0.028806949441397972,4,2,3
30,70,SPY,6,5,50,0.028720889210579935,0.09320900638046217,-0.06448811716988223,-0.8258976049419825,0.021469986587148476,-0.028806949441397972,4,2,3
30,70,SPY,12,5,44,0.11890294790720483,0.1566312929297626,-0.03772834502255777,-0.278748044436144,0.021469986587148476,-0.028806949441397972,4,2,3
35,65,QQQ,6,4,53,0.1173880333899604,0.08720504684038682,0.030182986549573576,0.22752706446379165,0.029412174892664004,0.04410376033196824,4,2,2
35,65,QQQ,12,4,47,0.3317719895298871,0.15049640464406527,0.18127558488582185,0.8753120824941435,0.029412174892664004,0.04410376033196824,4,2,2
35,65,SPY,6,5,52,0.028720889210579935,0.08851025145862283,-0.0597893622480429,-0.6896286449185559,0.029412174892664004,0.04410376033196824,4,2,2
35,65,SPY,12,5,46,0.11890294790720483,0.15292345752390135,-0.03402050961669652,-0.23679546071150628,0.029412174892664004,0.04410376033196824,4,2,2
40,60,QQQ,6,6,55,0.08688224399812378,0.09388680157158602,-0.0070045575734622445,-0.051553624990935604,0.022630159353068093,0.08067877190102071,6,2,1
40,60,QQQ,12,6,49,0.27175599905734765,0.16272711275027235,0.1090288863070753,0.5168890751879482,0.022630159353068093,0.08067877190102071,6,2,1
40,60,SPY,6,7,54,0.06274240032229049,0.0803920034042198,-0.01764960308192931,-0.18475831979073964,0.022630159353068093,0.08067877190102071,6,2,1
40,60,SPY,12,7,48,0.14969200130253268,0.14354608954194406,0.006145911760588624,0.04213795719780991,0.022630159353068093,0.08067877190102071,6,2,1
